"Tabela 6773 - Número de estabelecimentos agropecuários e Área dos estabelecimentos agropecuários, por tipologia, condição legal do produtor, residência da pessoa que dirige o estabelecimento, finalidade principal da produção agropecuária do estabelecimento, renda obtida com as atividades desenvolvidas no estabelecimento e associação do produtor à cooperativa e/ou à entidade de classe - Ranking ascendente"
"Variável - Número de estabelecimentos agropecuários (Unidades)"
"Cód.";"Brasil e Município";"Finalidade principal da produção agropecuária do estabelecimento";"Renda obtida com as atividades desenvolvidas no estabelecimento";"#";"Associação do produtor à cooperativa e/ou à entidade de classe";"Ano x Tipologia x Condição legal do produtor x Residência da pessoa que dirige o estabelecimento"
"3544806";"Sales (SP)";"Total";"Total";"1";"Total";"187"
"3544905";"Sales Oliveira (SP)";"Total";"Total";"1";"Total";"103"
"3545001";"Salesópolis (SP)";"Total";"Total";"1";"Total";"332"
"3545100";"Salmourão (SP)";"Total";"Total";"1";"Total";"173"
"3545159";"Saltinho (SP)";"Total";"Total";"1";"Total";"89"
"3545209";"Salto (SP)";"Total";"Total";"1";"Total";"73"
"3545308";"Salto de Pirapora (SP)";"Total";"Total";"1";"Total";"224"
"3545407";"Salto Grande (SP)";"Total";"Total";"1";"Total";"159"
"3545506";"Sandovalina (SP)";"Total";"Total";"1";"Total";"261"
"3545605";"Santa Adélia (SP)";"Total";"Total";"1";"Total";"178"
"3545704";"Santa Albertina (SP)";"Total";"Total";"1";"Total";"393"
"3545803";"Santa Bárbara d'Oeste (SP)";"Total";"Total";"1";"Total";"75"
"3546009";"Santa Branca (SP)";"Total";"Total";"1";"Total";"94"
"3546108";"Santa Clara d'Oeste (SP)";"Total";"Total";"1";"Total";"210"
"3546207";"Santa Cruz da Conceição (SP)";"Total";"Total";"1";"Total";"145"
"3546256";"Santa Cruz da Esperança (SP)";"Total";"Total";"1";"Total";"63"
"3546306";"Santa Cruz das Palmeiras (SP)";"Total";"Total";"1";"Total";"108"
"3546405";"Santa Cruz do Rio Pardo (SP)";"Total";"Total";"1";"Total";"653"
"3546504";"Santa Ernestina (SP)";"Total";"Total";"1";"Total";"58"
"3546603";"Santa Fé do Sul (SP)";"Total";"Total";"1";"Total";"466"
"3546702";"Santa Gertrudes (SP)";"Total";"Total";"1";"Total";"35"
"3546801";"Santa Isabel (SP)";"Total";"Total";"1";"Total";"304"
"3546900";"Santa Lúcia (SP)";"Total";"Total";"1";"Total";"33"
"3547007";"Santa Maria da Serra (SP)";"Total";"Total";"1";"Total";"124"
"3547106";"Santa Mercedes (SP)";"Total";"Total";"1";"Total";"109"
"3547205";"Santana da Ponte Pensa (SP)";"Total";"Total";"1";"Total";"318"
"3547304";"Santana de Parnaíba (SP)";"Total";"Total";"1";"Total";"21"
"3547403";"Santa Rita d'Oeste (SP)";"Total";"Total";"1";"Total";"410"
"3547502";"Santa Rita do Passa Quatro (SP)";"Total";"Total";"1";"Total";"549"
"3547601";"Santa Rosa de Viterbo (SP)";"Total";"Total";"1";"Total";"271"
"3547650";"Santa Salete (SP)";"Total";"Total";"1";"Total";"219"
"3547700";"Santo Anastácio (SP)";"Total";"Total";"1";"Total";"495"
"3547809";"Santo André (SP)";"Total";"Total";"1";"Total";"55"
"3547908";"Santo Antônio da Alegria (SP)";"Total";"Total";"1";"Total";"502"
"3548005";"Santo Antônio de Posse (SP)";"Total";"Total";"1";"Total";"205"
"3548054";"Santo Antônio do Aracanguá (SP)";"Total";"Total";"1";"Total";"425"
"3548104";"Santo Antônio do Jardim (SP)";"Total";"Total";"1";"Total";"269"
"3548203";"Santo Antônio do Pinhal (SP)";"Total";"Total";"1";"Total";"166"
"3548302";"Santo Expedito (SP)";"Total";"Total";"1";"Total";"172"
"3548401";"Santópolis do Aguapeí (SP)";"Total";"Total";"1";"Total";"87"
"3548500";"Santos (SP)";"Total";"Total";"1";"Total";"1"
"3548609";"São Bento do Sapucaí (SP)";"Total";"Total";"1";"Total";"576"
"3548708";"São Bernardo do Campo (SP)";"Total";"Total";"1";"Total";"62"
"3548807";"São Caetano do Sul (SP)";"Total";"Total";"1";"Total";"5"
"3548906";"São Carlos (SP)";"Total";"Total";"1";"Total";"508"
"3549003";"São Francisco (SP)";"Total";"Total";"1";"Total";"255"
"3549102";"São João da Boa Vista (SP)";"Total";"Total";"1";"Total";"582"
"3549201";"São João das Duas Pontes (SP)";"Total";"Total";"1";"Total";"85"
"3549250";"São João de Iracema (SP)";"Total";"Total";"1";"Total";"120"
"3549300";"São João do Pau d'Alho (SP)";"Total";"Total";"1";"Total";"182"
"3549409";"São Joaquim da Barra (SP)";"Total";"Total";"1";"Total";"143"
"3549508";"São José da Bela Vista (SP)";"Total";"Total";"1";"Total";"193"
"3549607";"São José do Barreiro (SP)";"Total";"Total";"1";"Total";"222"
"3549706";"São José do Rio Pardo (SP)";"Total";"Total";"1";"Total";"490"
"3549805";"São José do Rio Preto (SP)";"Total";"Total";"1";"Total";"502"
"3549904";"São José dos Campos (SP)";"Total";"Total";"1";"Total";"544"
"3549953";"São Lourenço da Serra (SP)";"Total";"Total";"1";"Total";"86"
"3550001";"São Luiz do Paraitinga (SP)";"Total";"Total";"1";"Total";"510"
"3550100";"São Manuel (SP)";"Total";"Total";"1";"Total";"133"
"3550209";"São Miguel Arcanjo (SP)";"Total";"Total";"1";"Total";"1916"
"3550308";"São Paulo (SP)";"Total";"Total";"1";"Total";"550"
"3550407";"São Pedro (SP)";"Total";"Total";"1";"Total";"424"
"3550506";"São Pedro do Turvo (SP)";"Total";"Total";"1";"Total";"538"
"3550605";"São Roque (SP)";"Total";"Total";"1";"Total";"142"
"3550704";"São Sebastião (SP)";"Total";"Total";"1";"Total";"25"
"3550803";"São Sebastião da Grama (SP)";"Total";"Total";"1";"Total";"271"
"3550902";"São Simão (SP)";"Total";"Total";"1";"Total";"250"
"3551009";"São Vicente (SP)";"Total";"Total";"1";"Total";"7"
"3551108";"Sarapuí (SP)";"Total";"Total";"1";"Total";"348"
"3551207";"Sarutaiá (SP)";"Total";"Total";"1";"Total";"125"
"3551306";"Sebastianópolis do Sul (SP)";"Total";"Total";"1";"Total";"216"
"3551405";"Serra Azul (SP)";"Total";"Total";"1";"Total";"136"
"3551504";"Serrana (SP)";"Total";"Total";"1";"Total";"19"
"3551603";"Serra Negra (SP)";"Total";"Total";"1";"Total";"492"
"3551702";"Sertãozinho (SP)";"Total";"Total";"1";"Total";"139"
"3551801";"Sete Barras (SP)";"Total";"Total";"1";"Total";"816"
"3551900";"Severínia (SP)";"Total";"Total";"1";"Total";"97"
"3552007";"Silveiras (SP)";"Total";"Total";"1";"Total";"338"
"3552106";"Socorro (SP)";"Total";"Total";"1";"Total";"1749"
"3552205";"Sorocaba (SP)";"Total";"Total";"1";"Total";"193"
"3552304";"Sud Mennucci (SP)";"Total";"Total";"1";"Total";"200"
"3552403";"Sumaré (SP)";"Total";"Total";"1";"Total";"170"
"3552502";"Suzano (SP)";"Total";"Total";"1";"Total";"349"
"3552551";"Suzanápolis (SP)";"Total";"Total";"1";"Total";"282"
"3552601";"Tabapuã (SP)";"Total";"Total";"1";"Total";"229"
"3552700";"Tabatinga (SP)";"Total";"Total";"1";"Total";"429"
"3552809";"Taboão da Serra (SP)";"Total";"Total";"1";"Total";"2"
"3552908";"Taciba (SP)";"Total";"Total";"1";"Total";"194"
"3553005";"Taguaí (SP)";"Total";"Total";"1";"Total";"165"
"3553104";"Taiaçu (SP)";"Total";"Total";"1";"Total";"187"
"3553203";"Taiúva (SP)";"Total";"Total";"1";"Total";"164"
"3553302";"Tambaú (SP)";"Total";"Total";"1";"Total";"258"
"3553401";"Tanabi (SP)";"Total";"Total";"1";"Total";"1062"
"3553500";"Tapiraí (SP)";"Total";"Total";"1";"Total";"141"
"3553609";"Tapiratiba (SP)";"Total";"Total";"1";"Total";"93"
"3553658";"Taquaral (SP)";"Total";"Total";"1";"Total";"45"
"3553708";"Taquaritinga (SP)";"Total";"Total";"1";"Total";"559"
"3553807";"Taquarituba (SP)";"Total";"Total";"1";"Total";"594"
"3553856";"Taquarivaí (SP)";"Total";"Total";"1";"Total";"116"
"3553906";"Tarabai (SP)";"Total";"Total";"1";"Total";"126"
"3553955";"Tarumã (SP)";"Total";"Total";"1";"Total";"80"
"3554003";"Tatuí (SP)";"Total";"Total";"1";"Total";"342"
"3554102";"Taubaté (SP)";"Total";"Total";"1";"Total";"351"
"3554201";"Tejupá (SP)";"Total";"Total";"1";"Total";"309"
"3554300";"Teodoro Sampaio (SP)";"Total";"Total";"1";"Total";"976"
"3554409";"Terra Roxa (SP)";"Total";"Total";"1";"Total";"140"
"3554508";"Tietê (SP)";"Total";"Total";"1";"Total";"417"
"3554607";"Timburi (SP)";"Total";"Total";"1";"Total";"139"
"3554656";"Torre de Pedra (SP)";"Total";"Total";"1";"Total";"175"
"3554706";"Torrinha (SP)";"Total";"Total";"1";"Total";"421"
"3554755";"Trabiju (SP)";"Total";"Total";"1";"Total";"24"
"3554805";"Tremembé (SP)";"Total";"Total";"1";"Total";"162"
"3554904";"Três Fronteiras (SP)";"Total";"Total";"1";"Total";"310"
"3554953";"Tuiuti (SP)";"Total";"Total";"1";"Total";"456"
"3555000";"Tupã (SP)";"Total";"Total";"1";"Total";"723"
"3555109";"Tupi Paulista (SP)";"Total";"Total";"1";"Total";"516"
"3555208";"Turiúba (SP)";"Total";"Total";"1";"Total";"227"
"3555307";"Turmalina (SP)";"Total";"Total";"1";"Total";"260"
"3555356";"Ubarana (SP)";"Total";"Total";"1";"Total";"57"
"3555406";"Ubatuba (SP)";"Total";"Total";"1";"Total";"133"
"3555505";"Ubirajara (SP)";"Total";"Total";"1";"Total";"317"
"3555604";"Uchoa (SP)";"Total";"Total";"1";"Total";"360"
"3555703";"União Paulista (SP)";"Total";"Total";"1";"Total";"78"
"3555802";"Urânia (SP)";"Total";"Total";"1";"Total";"425"
"3555901";"Uru (SP)";"Total";"Total";"1";"Total";"86"
"3556008";"Urupês (SP)";"Total";"Total";"1";"Total";"519"
"3556107";"Valentim Gentil (SP)";"Total";"Total";"1";"Total";"222"
"3556206";"Valinhos (SP)";"Total";"Total";"1";"Total";"266"
"3556305";"Valparaíso (SP)";"Total";"Total";"1";"Total";"177"
"3556354";"Vargem (SP)";"Total";"Total";"1";"Total";"228"
"3556404";"Vargem Grande do Sul (SP)";"Total";"Total";"1";"Total";"195"
"3556453";"Vargem Grande Paulista (SP)";"Total";"Total";"1";"Total";"53"
"3556503";"Várzea Paulista (SP)";"Total";"Total";"1";"Total";"8"
"3556602";"Vera Cruz (SP)";"Total";"Total";"1";"Total";"264"
"3556701";"Vinhedo (SP)";"Total";"Total";"1";"Total";"85"
"3556800";"Viradouro (SP)";"Total";"Total";"1";"Total";"278"
"3556909";"Vista Alegre do Alto (SP)";"Total";"Total";"1";"Total";"111"
"3556958";"Vitória Brasil (SP)";"Total";"Total";"1";"Total";"109"
"3557006";"Votorantim (SP)";"Total";"Total";"1";"Total";"53"
"3557105";"Votuporanga (SP)";"Total";"Total";"1";"Total";"515"
"3557154";"Zacarias (SP)";"Total";"Total";"1";"Total";"156"
"3557204";"Chavantes (SP)";"Total";"Total";"1";"Total";"29"
"3557303";"Estiva Gerbi (SP)";"Total";"Total";"1";"Total";"91"
"4100103";"Abatiá (PR)";"Total";"Total";"1";"Total";"673"
"4100202";"Adrianópolis (PR)";"Total";"Total";"1";"Total";"663"
"4100301";"Agudos do Sul (PR)";"Total";"Total";"1";"Total";"1002"
"4100400";"Almirante Tamandaré (PR)";"Total";"Total";"1";"Total";"206"
"4100459";"Altamira do Paraná (PR)";"Total";"Total";"1";"Total";"543"
"4100509";"Altônia (PR)";"Total";"Total";"1";"Total";"1571"
"4100608";"Alto Paraná (PR)";"Total";"Total";"1";"Total";"592"
"4100707";"Alto Piquiri (PR)";"Total";"Total";"1";"Total";"754"
"4100806";"Alvorada do Sul (PR)";"Total";"Total";"1";"Total";"371"
"4100905";"Amaporã (PR)";"Total";"Total";"1";"Total";"319"
"4101002";"Ampére (PR)";"Total";"Total";"1";"Total";"1185"
"4101051";"Anahy (PR)";"Total";"Total";"1";"Total";"208"
"4101101";"Andirá (PR)";"Total";"Total";"1";"Total";"291"
"4101150";"Ângulo (PR)";"Total";"Total";"1";"Total";"265"
"4101200";"Antonina (PR)";"Total";"Total";"1";"Total";"304"
"4101309";"Antônio Olinto (PR)";"Total";"Total";"1";"Total";"1008"
"4101408";"Apucarana (PR)";"Total";"Total";"1";"Total";"1308"
"4101507";"Arapongas (PR)";"Total";"Total";"1";"Total";"568"
"4101606";"Arapoti (PR)";"Total";"Total";"1";"Total";"858"
"4101655";"Arapuã (PR)";"Total";"Total";"1";"Total";"476"
"4101705";"Araruna (PR)";"Total";"Total";"1";"Total";"611"
"4101804";"Araucária (PR)";"Total";"Total";"1";"Total";"1387"
"4101853";"Ariranha do Ivaí (PR)";"Total";"Total";"1";"Total";"524"
"4101903";"Assaí (PR)";"Total";"Total";"1";"Total";"598"
"4102000";"Assis Chateaubriand (PR)";"Total";"Total";"1";"Total";"1472"
"4102109";"Astorga (PR)";"Total";"Total";"1";"Total";"705"
"4102208";"Atalaia (PR)";"Total";"Total";"1";"Total";"279"
"4102307";"Balsa Nova (PR)";"Total";"Total";"1";"Total";"295"
"4102406";"Bandeirantes (PR)";"Total";"Total";"1";"Total";"774"
"4102505";"Barbosa Ferraz (PR)";"Total";"Total";"1";"Total";"909"
"4102604";"Barracão (PR)";"Total";"Total";"1";"Total";"794"
"4102703";"Barra do Jacaré (PR)";"Total";"Total";"1";"Total";"282"
"4102752";"Bela Vista da Caroba (PR)";"Total";"Total";"1";"Total";"838"
"4102802";"Bela Vista do Paraíso (PR)";"Total";"Total";"1";"Total";"342"
"4102901";"Bituruna (PR)";"Total";"Total";"1";"Total";"1561"
"4103008";"Boa Esperança (PR)";"Total";"Total";"1";"Total";"378"
"4103024";"Boa Esperança do Iguaçu (PR)";"Total";"Total";"1";"Total";"431"
"4103040";"Boa Ventura de São Roque (PR)";"Total";"Total";"1";"Total";"1292"
"4103057";"Boa Vista da Aparecida (PR)";"Total";"Total";"1";"Total";"857"
"4103107";"Bocaiúva do Sul (PR)";"Total";"Total";"1";"Total";"378"
"4103156";"Bom Jesus do Sul (PR)";"Total";"Total";"1";"Total";"832"
"4103206";"Bom Sucesso (PR)";"Total";"Total";"1";"Total";"363"
"4103222";"Bom Sucesso do Sul (PR)";"Total";"Total";"1";"Total";"333"
"4103305";"Borrazópolis (PR)";"Total";"Total";"1";"Total";"670"
"4103354";"Braganey (PR)";"Total";"Total";"1";"Total";"511"
"4103370";"Brasilândia do Sul (PR)";"Total";"Total";"1";"Total";"203"
"4103404";"Cafeara (PR)";"Total";"Total";"1";"Total";"158"
"4103453";"Cafelândia (PR)";"Total";"Total";"1";"Total";"444"
"4103479";"Cafezal do Sul (PR)";"Total";"Total";"1";"Total";"538"
"4103503";"Califórnia (PR)";"Total";"Total";"1";"Total";"438"
"4103602";"Cambará (PR)";"Total";"Total";"1";"Total";"398"
"4103701";"Cambé (PR)";"Total";"Total";"1";"Total";"563"
"4103800";"Cambira (PR)";"Total";"Total";"1";"Total";"554"
"4103909";"Campina da Lagoa (PR)";"Total";"Total";"1";"Total";"729"
"4103958";"Campina do Simão (PR)";"Total";"Total";"1";"Total";"460"
"4104006";"Campina Grande do Sul (PR)";"Total";"Total";"1";"Total";"447"
"4104055";"Campo Bonito (PR)";"Total";"Total";"1";"Total";"552"
"4104105";"Campo do Tenente (PR)";"Total";"Total";"1";"Total";"322"
"4104204";"Campo Largo (PR)";"Total";"Total";"1";"Total";"2233"
"4104253";"Campo Magro (PR)";"Total";"Total";"1";"Total";"858"
"4104303";"Campo Mourão (PR)";"Total";"Total";"1";"Total";"626"
"4104402";"Cândido de Abreu (PR)";"Total";"Total";"1";"Total";"2452"
"4104428";"Candói (PR)";"Total";"Total";"1";"Total";"1481"
"4104451";"Cantagalo (PR)";"Total";"Total";"1";"Total";"943"
"4104501";"Capanema (PR)";"Total";"Total";"1";"Total";"1917"
"4104600";"Capitão Leônidas Marques (PR)";"Total";"Total";"1";"Total";"987"
"4104659";"Carambeí (PR)";"Total";"Total";"1";"Total";"222"
"4104709";"Carlópolis (PR)";"Total";"Total";"1";"Total";"1273"
"4104808";"Cascavel (PR)";"Total";"Total";"1";"Total";"3221"
"4104907";"Castro (PR)";"Total";"Total";"1";"Total";"2603"
"4105003";"Catanduvas (PR)";"Total";"Total";"1";"Total";"1076"
"4105102";"Centenário do Sul (PR)";"Total";"Total";"1";"Total";"795"
"4105201";"Cerro Azul (PR)";"Total";"Total";"1";"Total";"1991"
"4105300";"Céu Azul (PR)";"Total";"Total";"1";"Total";"801"
"4105409";"Chopinzinho (PR)";"Total";"Total";"1";"Total";"1550"
"4105508";"Cianorte (PR)";"Total";"Total";"1";"Total";"1349"
"4105607";"Cidade Gaúcha (PR)";"Total";"Total";"1";"Total";"332"
"4105706";"Clevelândia (PR)";"Total";"Total";"1";"Total";"761"
"4105805";"Colombo (PR)";"Total";"Total";"1";"Total";"374"
"4105904";"Colorado (PR)";"Total";"Total";"1";"Total";"393"
"4106001";"Congonhinhas (PR)";"Total";"Total";"1";"Total";"974"
"4106100";"Conselheiro Mairinck (PR)";"Total";"Total";"1";"Total";"218"
"4106209";"Contenda (PR)";"Total";"Total";"1";"Total";"1074"
"4106308";"Corbélia (PR)";"Total";"Total";"1";"Total";"454"
"4106407";"Cornélio Procópio (PR)";"Total";"Total";"1";"Total";"729"
"4106456";"Coronel Domingos Soares (PR)";"Total";"Total";"1";"Total";"1198"
"4106506";"Coronel Vivida (PR)";"Total";"Total";"1";"Total";"1481"
"4106555";"Corumbataí do Sul (PR)";"Total";"Total";"1";"Total";"382"
"4106571";"Cruzeiro do Iguaçu (PR)";"Total";"Total";"1";"Total";"448"
"4106605";"Cruzeiro do Oeste (PR)";"Total";"Total";"1";"Total";"1019"
"4106704";"Cruzeiro do Sul (PR)";"Total";"Total";"1";"Total";"257"
"4106803";"Cruz Machado (PR)";"Total";"Total";"1";"Total";"3051"
"4106852";"Cruzmaltina (PR)";"Total";"Total";"1";"Total";"325"
"4106902";"Curitiba (PR)";"Total";"Total";"1";"Total";"123"
"4107009";"Curiúva (PR)";"Total";"Total";"1";"Total";"911"
"4107108";"Diamante do Norte (PR)";"Total";"Total";"1";"Total";"176"
"4107124";"Diamante do Sul (PR)";"Total";"Total";"1";"Total";"544"
"4107157";"Diamante D'Oeste (PR)";"Total";"Total";"1";"Total";"696"
"4107207";"Dois Vizinhos (PR)";"Total";"Total";"1";"Total";"1880"
"4107256";"Douradina (PR)";"Total";"Total";"1";"Total";"512"
"4107306";"Doutor Camargo (PR)";"Total";"Total";"1";"Total";"288"
"4107405";"Enéas Marques (PR)";"Total";"Total";"1";"Total";"910"
"4107504";"Engenheiro Beltrão (PR)";"Total";"Total";"1";"Total";"543"
"4107520";"Esperança Nova (PR)";"Total";"Total";"1";"Total";"352"
"4107538";"Entre Rios do Oeste (PR)";"Total";"Total";"1";"Total";"316"
"4107546";"Espigão Alto do Iguaçu (PR)";"Total";"Total";"1";"Total";"674"
"4107553";"Farol (PR)";"Total";"Total";"1";"Total";"282"
"4107603";"Faxinal (PR)";"Total";"Total";"1";"Total";"539"
"4107652";"Fazenda Rio Grande (PR)";"Total";"Total";"1";"Total";"134"
"4107702";"Fênix (PR)";"Total";"Total";"1";"Total";"322"
"4107736";"Fernandes Pinheiro (PR)";"Total";"Total";"1";"Total";"521"
"4107751";"Figueira (PR)";"Total";"Total";"1";"Total";"326"
"4107801";"Floraí (PR)";"Total";"Total";"1";"Total";"218"
"4107850";"Flor da Serra do Sul (PR)";"Total";"Total";"1";"Total";"661"
"4107900";"Floresta (PR)";"Total";"Total";"1";"Total";"158"
"4108007";"Florestópolis (PR)";"Total";"Total";"1";"Total";"211"
"4108106";"Flórida (PR)";"Total";"Total";"1";"Total";"100"
"4108205";"Formosa do Oeste (PR)";"Total";"Total";"1";"Total";"771"
"4108304";"Foz do Iguaçu (PR)";"Total";"Total";"1";"Total";"568"
"4108320";"Francisco Alves (PR)";"Total";"Total";"1";"Total";"679"
"4108403";"Francisco Beltrão (PR)";"Total";"Total";"1";"Total";"2621"
"4108452";"Foz do Jordão (PR)";"Total";"Total";"1";"Total";"259"
"4108502";"General Carneiro (PR)";"Total";"Total";"1";"Total";"668"
"4108551";"Godoy Moreira (PR)";"Total";"Total";"1";"Total";"465"
"4108601";"Goioerê (PR)";"Total";"Total";"1";"Total";"532"
"4108650";"Goioxim (PR)";"Total";"Total";"1";"Total";"856"
"4108700";"Grandes Rios (PR)";"Total";"Total";"1";"Total";"572"
"4108809";"Guaíra (PR)";"Total";"Total";"1";"Total";"661"
"4108908";"Guairaçá (PR)";"Total";"Total";"1";"Total";"499"
"4108957";"Guamiranga (PR)";"Total";"Total";"1";"Total";"1034"
"4109005";"Guapirama (PR)";"Total";"Total";"1";"Total";"325"
"4109104";"Guaporema (PR)";"Total";"Total";"1";"Total";"200"
"4109203";"Guaraci (PR)";"Total";"Total";"1";"Total";"216"
"4109302";"Guaraniaçu (PR)";"Total";"Total";"1";"Total";"1658"
"4109401";"Guarapuava (PR)";"Total";"Total";"1";"Total";"2134"
"4109500";"Guaraqueçaba (PR)";"Total";"Total";"1";"Total";"493"
"4109609";"Guaratuba (PR)";"Total";"Total";"1";"Total";"376"
"4109658";"Honório Serpa (PR)";"Total";"Total";"1";"Total";"733"
"4109708";"Ibaiti (PR)";"Total";"Total";"1";"Total";"1453"
"4109757";"Ibema (PR)";"Total";"Total";"1";"Total";"398"
"4109807";"Ibiporã (PR)";"Total";"Total";"1";"Total";"482"
"4109906";"Icaraíma (PR)";"Total";"Total";"1";"Total";"630"
"4110003";"Iguaraçu (PR)";"Total";"Total";"1";"Total";"223"
"4110052";"Iguatu (PR)";"Total";"Total";"1";"Total";"265"
"4110078";"Imbaú (PR)";"Total";"Total";"1";"Total";"580"
"4110102";"Imbituva (PR)";"Total";"Total";"1";"Total";"1599"
"4110201";"Inácio Martins (PR)";"Total";"Total";"1";"Total";"794"
"4110300";"Inajá (PR)";"Total";"Total";"1";"Total";"120"
"4110409";"Indianópolis (PR)";"Total";"Total";"1";"Total";"398"
"4110508";"Ipiranga (PR)";"Total";"Total";"1";"Total";"1766"
"4110607";"Iporã (PR)";"Total";"Total";"1";"Total";"1263"
"4110656";"Iracema do Oeste (PR)";"Total";"Total";"1";"Total";"194"
"4110706";"Irati (PR)";"Total";"Total";"1";"Total";"2394"
"4110805";"Iretama (PR)";"Total";"Total";"1";"Total";"1183"
"4110904";"Itaguajé (PR)";"Total";"Total";"1";"Total";"273"
"4110953";"Itaipulândia (PR)";"Total";"Total";"1";"Total";"517"
"4111001";"Itambaracá (PR)";"Total";"Total";"1";"Total";"202"
"4111100";"Itambé (PR)";"Total";"Total";"1";"Total";"243"
"4111209";"Itapejara d'Oeste (PR)";"Total";"Total";"1";"Total";"709"
"4111258";"Itaperuçu (PR)";"Total";"Total";"1";"Total";"552"
"4111308";"Itaúna do Sul (PR)";"Total";"Total";"1";"Total";"292"
"4111407";"Ivaí (PR)";"Total";"Total";"1";"Total";"1683"
"4111506";"Ivaiporã (PR)";"Total";"Total";"1";"Total";"1161"
"4111555";"Ivaté (PR)";"Total";"Total";"1";"Total";"531"
"4111605";"Ivatuba (PR)";"Total";"Total";"1";"Total";"88"
"4111704";"Jaboti (PR)";"Total";"Total";"1";"Total";"638"
"4111803";"Jacarezinho (PR)";"Total";"Total";"1";"Total";"811"
"4111902";"Jaguapitã (PR)";"Total";"Total";"1";"Total";"409"
"4112009";"Jaguariaíva (PR)";"Total";"Total";"1";"Total";"1014"
"4112108";"Jandaia do Sul (PR)";"Total";"Total";"1";"Total";"469"
"4112207";"Janiópolis (PR)";"Total";"Total";"1";"Total";"472"
"4112306";"Japira (PR)";"Total";"Total";"1";"Total";"577"
"4112405";"Japurá (PR)";"Total";"Total";"1";"Total";"405"
"4112504";"Jardim Alegre (PR)";"Total";"Total";"1";"Total";"1232"
"4112603";"Jardim Olinda (PR)";"Total";"Total";"1";"Total";"76"
"4112702";"Jataizinho (PR)";"Total";"Total";"1";"Total";"222"
"4112751";"Jesuítas (PR)";"Total";"Total";"1";"Total";"754"
"4112801";"Joaquim Távora (PR)";"Total";"Total";"1";"Total";"665"
"4112900";"Jundiaí do Sul (PR)";"Total";"Total";"1";"Total";"324"
